Indicator type,Indicator,Description
FileHash-MD5,2c0b9017cf55630f1095ff42d9717732,
FileHash-MD5,4e09ef9806fb9af448a5efcd60395815,
FileHash-MD5,50e5927056538d5087816be6852397f6,
FileHash-MD5,6e4ae1209a2afe123636f6074c19745d,
FileHash-MD5,952bb88b4ce8c402b25d219ea27ad9e4,
FileHash-MD5,a8fc70b86e828ffed0f6b3408d30a037,
URL,http://164.90.244.118/,
URL,http://2lmlw.r.nit.sa/,
URL,http://3nayah-trf.com/,
URL,http://3rabapp.com/apps/colorsfill-root/colorfill.json,
URL,http://7450.bodis.com/wpad.dat,
URL,http://acniservice.fr/wp-login.php,
URL,http://acniservice.fr/xmlrpc.php,
URL,http://alajlaninvest.com/,
URL,http://alkhabarkw.com/,
URL,http://alsaffarst.com/,
URL,http://alsaudia-web.com/,
URL,http://amriplaza.com/,
URL,http://antpeak.com/,
URL,http://api.almosaly.com/,
URL,http://api.cbex.cx/,
URL,http://api.currencylayer.com/,
URL,http://api.du-just-link.com/,
URL,http://api.nisfak.com/,
URL,http://api.samsunggp.com/,
URL,http://app.adywind.com/mpapi/ad,
URL,http://app.elegantrobot.click/getAds,
URL,http://app.elegantrobot.click/getAnnouncements,
URL,http://app.elegantrobot.click/getGroupList,
URL,http://app.elegantrobot.click/getService,
URL,http://app.elegantrobot.click/getconf,
URL,http://ar.gascylinder.net/uploads/202115144/12-5kg-high-quality-propane-lpg-gas-cylinder13157192532.jpg,
URL,http://ar.pressbee.net/,
URL,http://araby.nl7za.com/,
URL,http://azoramoon.com/,
URL,http://bathchannel.com/,
URL,http://belvoirgulf.com/,
URL,http://bohperfume.com/,
URL,http://brave-shop.com/,
URL,http://bt3.t-ru.org/ann,
URL,http://businesshour24.com/,
URL,http://cbex.cx/,
URL,http://cdn.img-serve-a.com/,
URL,http://cdn.ktbby.net/,
URL,http://cdn.larapush.com/,
URL,http://cdn.lineicons.com/,
URL,http://cdn2.feedify.net/,
URL,http://christholdfast.org/,
URL,http://cm.rtbsystem.com/,
URL,http://connect.swan.cx/,
URL,http://converter.eztechglobal.com/,
URL,http://craftier.ae/wp-login.php,
URL,http://craftier.ae/xmlrpc.php,
URL,http://darsonbol.com/,
URL,http://dmscg.com/,
URL,http://editor.iscannerapp.com/,
URL,http://esvpnjdntgr.com/,
URL,http://exuanbo.xyz/,
URL,http://fabianksa.com/,
URL,http://fathkroni.net/,
URL,http://files.hosting.thmanyah.com/,
URL,http://filters.1blocker.com/,
URL,http://fly-cards.net/,
URL,http://fndrsp.net/,
URL,http://fomoo.net/,
URL,http://g-get.net/,
URL,http://gekeebsirs.com/,
URL,http://go5pmm.com/,
URL,http://googls-api.com/,
URL,http://hayzamroaster.com/,
URL,http://healthandwillness.org/,
URL,http://healthgeneral.org/,
URL,http://hindilinks4u.hair/,
URL,http://hmomen.com/static/uploads/wall_section_bg5.jpg,
URL,http://htagpa.tech/,
URL,http://inappmessage.madarsoft.com/,
URL,http://info.aunumber.com/,
URL,http://invitations.kr-virtual.com/,
URL,http://iqra-book.com/,
URL,http://itema.masterrepo.com/,
URL,http://kabshnajd.com/,
URL,http://kaf-shop.com/,
URL,http://kassarperfumes.com/,
URL,http://keyboard-test.space/,
URL,http://ksavape.com/,
URL,http://lanooch.com/,
URL,http://legendsleepsa.com/,
URL,http://leopard0.com/,
URL,http://lib.tashop.co/,
URL,http://libgen.vg/,
URL,http://libgen.vg/css/dark-mode.css,
URL,http://libgen.vg/css/font.min.css,
URL,http://libgen.vg/js/form-validation.js,
URL,http://libgen.vg/js/popper.min.js,
URL,http://materias.synthclick.com/,
URL,http://media.9ten.cloud/,
URL,http://medicalacademy.org/,
URL,http://memoriesofgift.com/,
URL,http://naqoos.com/,
URL,http://new.misshit.top/,
URL,http://nl7za.com/,
URL,http://omaharanch.com/,
URL,http://optiononee.com/,
URL,http://pha.indiancontentnetwork.in/,
URL,http://potatovpn.com/,
URL,http://psupps.net/,
URL,http://pub547.ayam-news.com/,
URL,http://qasimahapp.com/,
URL,http://rasees.net/,
URL,http://rasma.net/,
URL,http://reallyfreegeoip.org/,
URL,http://reefi.me/,
URL,http://report.camel-vpn.net/,
URL,http://returnyoutubedislikeapi.com/,
URL,http://riyadhseason.com/,
URL,http://rtbdemand.apiip.net/,
URL,http://s1.iyallashoot.com/,
URL,http://salam2017.com/apple-touch-icon-120x120-precomposed.png,
URL,http://salam2017.com/apple-touch-icon-120x120.png,
URL,http://salam2017.com/apple-touch-icon.png,
URL,http://salam2017.com/favicon.ico,
URL,http://saudi-car.net/,
URL,http://scheme.adywind.com/v1/scheme/app,
URL,http://sci-hub.hkvisa.net/,
URL,http://sci-hub.yt/,
URL,http://semaster.pl/,
URL,http://serving.mdscpxchg.com/,
URL,http://shujasa.com/,
URL,http://some.growplow.events/,
URL,http://static.developingperspective.com/,
URL,http://strataimaging.com/,
URL,http://subscene.best/,
URL,http://superblog.ai/,
URL,http://swarmedical.com/,
URL,http://tafqit.com/,
URL,http://tasali-marsa-matrooh.foodics.online/,
URL,http://theadventurousmailbox.com/,
URL,http://thumbs.justindianporn.info/,
URL,http://tooqperfumes.com/,
URL,http://top.goam.online/,
URL,http://tr.machotube.tv/,
URL,http://track-eu.globalrtb.com/,
