Indicator type,Indicator,Description
IPv4,218.150.246.42,
IPv4,185.124.175.160,
IPv4,185.124.175.160,
IPv4,185.124.175.160,
IPv4,185.124.175.160,
IPv4,185.124.175.160,
IPv4,185.124.175.160,
IPv4,185.124.175.160,
IPv4,36.138.134.121,
IPv4,14.103.118.248,
IPv4,185.124.175.160,
IPv4,185.124.175.160,
IPv4,139.59.70.9,
IPv4,218.92.0.152,
IPv4,112.217.207.28,
IPv4,183.141.166.80,
IPv4,150.165.85.123,
IPv4,144.34.212.238,
IPv4,92.118.39.76,
IPv4,45.175.157.53,
IPv4,218.92.0.143,
IPv4,170.233.185.251,
IPv4,94.182.88.214,
IPv4,34.166.125.67,
IPv4,168.187.50.230,
IPv4,125.88.222.23,
IPv4,68.183.7.242,
IPv4,134.199.150.11,
IPv4,218.92.0.152,
IPv4,218.92.0.152,
IPv4,88.208.57.203,
IPv4,193.32.162.79,
IPv4,45.148.10.47,
IPv4,113.88.210.31,
IPv4,197.227.8.186,
IPv4,94.159.97.240,
IPv4,207.231.111.218,
IPv4,192.227.247.92,
IPv4,68.183.6.206,
IPv4,182.180.154.234,
IPv4,103.181.142.47,
IPv4,173.242.112.140,
IPv4,103.99.39.190,
IPv4,206.1.58.53,
IPv4,193.32.162.74,
IPv4,193.32.162.73,
IPv4,218.92.0.230,
IPv4,218.92.0.230,
IPv4,24.199.102.230,
IPv4,143.110.205.196,
IPv4,218.92.0.222,
IPv4,193.32.162.73,
IPv4,103.60.102.99,
IPv4,103.139.193.176,
IPv4,195.178.110.76,
IPv4,218.92.0.217,
IPv4,79.106.102.69,
IPv4,68.183.2.243,
IPv4,77.111.101.134,
IPv4,52.230.18.244,
IPv4,218.92.0.230,
IPv4,103.130.213.118,
IPv4,103.176.78.28,
IPv4,202.165.14.190,
IPv4,143.198.234.127,
IPv4,187.188.0.71,
IPv4,174.138.12.223,
IPv4,177.182.181.8,
IPv4,181.49.8.57,
IPv4,14.103.170.171,
IPv4,218.92.0.237,
IPv4,218.92.0.230,
IPv4,218.92.0.236,
IPv4,218.92.0.228,
IPv4,143.198.234.127,
IPv4,92.118.39.74,
IPv4,218.92.0.225,
IPv4,218.92.0.232,
IPv4,139.59.34.255,
IPv4,157.245.88.137,
IPv4,139.59.80.251,
IPv4,103.154.77.2,
IPv4,92.118.39.74,
IPv4,64.227.136.203,
IPv4,181.93.233.66,
IPv4,218.92.0.198,
IPv4,218.92.0.222,
IPv4,218.92.0.216,
IPv4,103.81.85.216,
IPv4,218.92.0.216,
IPv4,45.118.146.109,
IPv4,218.92.0.216,
IPv4,218.92.0.219,
IPv4,218.92.0.217,
IPv4,218.92.0.134,
IPv4,218.92.0.112,
IPv4,218.92.0.227,
IPv4,218.92.0.216,
IPv4,218.92.0.227,
IPv4,218.92.0.222,
IPv4,218.92.0.134,
IPv4,184.168.122.184,
IPv4,218.92.0.216,
IPv4,218.92.0.225,
IPv4,218.92.0.235,
IPv4,185.204.169.17,
IPv4,103.233.206.154,
IPv4,218.92.0.153,
IPv4,125.124.42.183,
IPv4,218.92.0.153,
IPv4,218.92.0.153,
IPv4,103.171.84.195,
IPv4,154.221.20.133,
IPv4,103.172.204.42,
IPv4,92.118.39.86,
IPv4,143.198.105.73,
IPv4,116.110.11.26,
IPv4,116.110.14.78,
IPv4,92.118.39.86,
IPv4,116.110.11.26,
IPv4,116.110.14.78,
IPv4,116.110.14.78,
IPv4,218.92.0.233,
IPv4,116.110.14.78,
IPv4,116.110.11.26,
IPv4,116.110.14.78,
IPv4,116.110.11.26,
IPv4,116.110.14.78,
IPv4,116.110.11.26,
IPv4,116.110.11.26,
IPv4,116.110.14.78,
IPv4,116.110.11.26,
IPv4,218.92.0.153,
IPv4,218.92.0.236,
IPv4,116.110.11.26,
IPv4,116.110.14.78,
IPv4,159.223.15.39,
IPv4,116.110.14.78,
IPv4,40.115.18.231,
IPv4,116.110.11.26,
IPv4,192.81.213.83,
IPv4,116.110.14.78,
IPv4,218.92.0.222,
IPv4,116.110.11.26,
IPv4,14.103.117.84,
IPv4,116.110.11.26,
IPv4,51.195.149.120,
IPv4,116.110.14.78,
IPv4,92.118.39.86,
IPv4,218.92.0.111,
IPv4,40.83.182.122,
IPv4,154.210.129.174,
IPv4,103.164.35.165,
IPv4,189.126.4.42,
IPv4,143.198.106.236,
IPv4,103.171.91.10,
IPv4,223.197.186.7,
IPv4,52.173.135.5,
IPv4,64.225.62.179,
IPv4,186.96.145.241,
IPv4,186.96.145.241,
IPv4,138.68.98.83,
IPv4,138.68.98.83,
IPv4,14.103.123.65,
IPv4,186.96.145.241,
IPv4,200.13.244.219,
IPv4,186.96.145.241,
IPv4,186.96.145.241,
IPv4,186.96.145.241,
IPv4,186.96.145.241,
IPv4,218.92.0.223,
IPv4,80.94.95.112,
IPv4,103.98.176.213,
IPv4,191.55.188.165,
IPv4,159.223.12.201,
IPv4,218.92.0.232,
IPv4,218.92.0.225,
IPv4,218.92.0.221,
IPv4,199.168.139.106,
IPv4,218.92.0.223,
IPv4,218.92.0.231,
IPv4,218.92.0.111,
IPv4,195.178.110.210,
IPv4,80.94.95.112,
IPv4,218.92.0.226,
IPv4,134.209.120.69,
IPv4,80.94.95.112,
IPv4,159.223.12.201,
IPv4,34.122.106.61,
IPv4,185.213.164.162,
IPv4,52.230.18.244,
IPv4,27.96.84.210,
IPv4,218.92.0.236,
IPv4,103.187.147.214,
IPv4,218.92.0.236,
IPv4,185.255.91.221,
IPv4,105.73.164.78,
IPv4,4.213.177.240,
IPv4,218.92.0.223,
IPv4,218.92.0.232,
IPv4,35.222.117.243,
IPv4,218.92.0.219,
IPv4,218.92.0.219,
IPv4,218.92.0.220,
IPv4,59.84.11.176,
IPv4,162.240.212.247,
IPv4,218.92.0.237,
IPv4,20.87.21.241,
IPv4,218.92.0.219,
IPv4,163.172.141.218,
IPv4,218.92.0.233,
IPv4,202.157.177.33,
IPv4,218.92.0.237,
IPv4,218.92.0.111,
IPv4,160.174.129.232,
IPv4,14.29.179.159,
IPv4,144.217.13.134,
IPv4,143.198.96.226,
IPv4,38.191.248.4,
IPv4,106.75.20.134,
IPv4,218.92.0.216,
IPv4,103.248.43.101,
IPv4,80.94.95.112,
IPv4,80.94.95.112,
IPv4,107.175.39.135,
